3.3	0	13	35	78	33	78	34	69	48	64	36	60	35	75
3.4	0	13	35	79	33	78	34	69	48	64	36	62	32	75
3.5	0	13	35	79	33	78	34	69	48	67	36	62	32	75
3.6	0	13	35	79	33	78	33	69	48	71	36	62	32	75
3.7	0	13	35	79	33	78	33	75	48	71	36	62	32	75
3.8	0	14	35	79	33	78	33	75	48	71	36	62	32	75
3.9	0	14	35	79	33	78	33	75	47	71	36	62	32	75
4.0	0	14	35	85	33	78	33	75	47	71	36	62	32	75
4.1	0	14	35	86	33	78	33	75	47	70	36	62	32	75
4.2	0	14	35	86	33	79	33	75	47	71	36	62	32	75
4.3	0	14	35	86	33	79	33	75	47	71	36	62	32	75
4.4	0	15	35	86	33	79	33	75	47	71	36	62	32	75
4.5	0	15	35	86	33	79	32	75	47	71	36	62	32	75
4.6	0	15	35	86	33	79	32	75	47	72	36	70	32	75
4.7	0	15	29	86	33	79	32	75	47	72	36	70	32	75
4.8	0	15	29	102	32	79	32	76	47	72	36	76	32	75
4.9	0	15	29	102	32	79	32	76	47	73	36	76	32	75
5.0	0	16	24	102	32	79	32	76	47	73	36	79	32	75
5.1	0	16	24	102	32	79	32	76	47	73	36	79	32	75
5.2	0	16	24	102	32	79	32	76	47	74	36	79	32	75
5.3	1	16	25	102	32	79	32	76	47	74	36	79	32	75
5.4	1	17	25	102	32	79	31	76	47	81	36	79	32	75
5.5	1	17	25	102	32	80	31	77	47	81	36	79	32	75
5.6	1	17	25	102	32	80	31	77	47	81	36	79	32	75
5.7	1	17	25	102	32	80	26	83	47	81	36	79	32	75
5.8	1	18	25	102	32	80	26	83	47	81	36	79	32	75
5.9	1	18	25	102	32	80	26	83	47	81	36	79	32	75
6.0	2	19	25	102	32	80	26	83	47	81	36	79	32	75
6.1	2	19	25	102	32	80	26	83	47	87	36	79	32	75
6.2	2	24	25	102	32	86	30	83	47	87	36	79	32	75
6.3	2	24	25	102	32	86	30	83	47	87	36	79	32	75
6.4	2	24	25	102	32	86	30	83	47	87	36	79	32	75
6.5	2	24	31	102	32	86	30	83	47	87	36	79	32	75
6.6	2	24	31	102	32	86	30	83	47	82	36	79	32	75
6.7	2	23	31	102	32	86	30	83	47	99	36	79	32	75
6.8	2	23	31	102	32	86	30	83	47	99	36	79	32	75
6.9	2	23	31	102	32	86	30	83	47	99	36	79	32	75
7.0	2	23	31	102	32	87	30	84	47	99	36	79	32	75
7.1	2	23	31	102	32	87	30	84	47	99	36	79	32	75
7.2	2	23	31	102	32	87	30	84	47	99	36	79	32	75
7.3	2	24	32	102	32	87	30	84	47	99	36	79	32	75
7.4	2	24	32	102	32	87	30	84	47	99	36	79	32	75
7.5	2	24	32	102	32	87	30	84	47	99	36	79	32	75
7.6	2	24	32	102	32	87	30	84	47	99	36	79	32	75
7.7	3	24	32	102	32	87	30	84	47	99	36	79	32	75
7.8	3	24	33	102	31	87	30	84	47	99	36	79	32	75
7.9	3	28	33	102	31	87	30	84	47	99	36	79	32	75
8.0	3	29	33	102	31	87	30	84	47	99	36	79	32	75
8.1	2	26	32	122	26	90	3	113	46	102	23	83	34	103
8.2	2	26	32	122	26	90	3	113	46	102	23	83	34	103
8.3	2	26	32	122	26	90	3	113	46	103	22	83	34	103
8.4	2	26	32	122	26	114	3	113	46	103	22	83	34	103
8.5	3	26	32	122	26	114	3	113	46	103	22	83	11	103
8.6	3	26	32	122	26	114	3	113	46	103	22	83	11	103
8.7	3	26	32	122	26	114	3	113	46	103	22	83	11	103
8.8	3	26	32	122	26	115	3	113	46	104	22	83	11	103
8.9	3	26	32	122	17	115	3	113	46	104	22	83	11	103
9.0	3	26	32	122	17	115	3	113	46	104	22	83	11	103
9.1	3	26	32	122	17	115	3	113	46	104	22	83	11	103
9.2	3	26	32	122	17	115	3	113	46	104	22	83	11	103
9.3	3	26	32	122	17	115	3	113	46	105	22	84	11	103
9.4	3	26	32	122	17	115	3	112	46	105	22	84	11	103
9.5	3	26	32	122	16	115	3	112	46	105	22	84	11	103
9.6	3	26	32	122	16	115	3	112	46	105	22	84	11	103
9.7	3	26	32	122	16	115	3	112	46	106	22	84	11	103
9.8	3	26	32	122	16	115	3	113	46	106	22	84	11	103
9.9	3	26	32	122	16	115	3	113	46	106	22	84	11	103
10.0	3	26	32	122	16	115	3	113	45	106	22	84	11	103
10.1	3	26	32	122	16	115	3	112	45	122	22	84	11	103
10.2	3	26	32	122	16	115	3	112	45	122	22	84	11	103
10.3	3	26	32	122	16	115	3	112	45	122	22	84	11	103
10.4	3	26	32	122	16	115	3	112	45	122	22	84	11	103
10.5	3	26	32	122	16	115	3	112	45	122	22	85	11	103
10.6	3	26	32	122	16	115	3	112	45	122	22	85	11	103
10.7	3	26	32	122	16	115	3	112	45	122	22	85	11	103
10.8	3	26	32	122	16	115	3	112	45	122	22	85	11	103
10.9	3	26	32	122	16	115	3	112	45	122	22	85	11	103
11.0	3	26	32	122	16	115	3	112	45	122	22	85	11	103
11.1	3	27	32	122	16	115	3	112	45	122	22	85	11	103
11.2	3	27	32	123	16	115	3	112	45	123	22	86	11	103
11.3	3	27	32	123	16	115	3	112	39	123	22	86	11	103
11.4	3	27	32	123	16	115	3	112	39	123	21	86	11	103
11.5	3	27	32	123	16	115	3	112	39	123	21	86	11	103
11.6	3	27	32	123	16	115	3	112	39	123	21	86	11	103
11.7	3	27	32	123	16	115	3	112	39	123	21	86	11	103
11.8	3	27	32	123	16	115	3	112	39	123	21	86	11	103
11.9	3	27	32	123	16	115	3	112	39	123	21	87	11	103
12.0	3	27	32	123	16	115	3	112	39	123	21	87	11	103
12.1	3	27	32	123	16	115	3	112	39	123	21	87	11	103
12.2	3	27	32	123	16	115	3	112	39	123	21	87	11	103
12.3	3	27	32	123	16	115	3	112	39	123	21	87	11	103
12.4	3	27	32	123	16	115	3	112	39	123	21	87	11	103
12.5	4	27	32	123	16	115	3	112	39	123	21	87	11	103
12.6	4	27	31	123	16	115	3	112	39	123	21	88	11	103
12.7	4	27	31	123	16	115	3	112	39	123	21	88	11	103
12.8	4	27	31	123	16	115	3	112	39	123	21	109	11	103
12.9	4	28	31	123	16	115	3	112	39	123	21	109	11	103
13.0	4	28	31	123	16	115	3	112	39	123	21	109	11	103
